"(2, 1, 3)","[-2838.434541174197, -3745.545518386782, -5986.59202567024, -4710.731349153638]"
"(1, 1, 3)","[-4607.517841158015, -3361.688279712545, -2649.4163017997585, -9472.936817525908]"
"(0, 1, 3)","[-6824.3214345225815, -2819.673581536038, -5661.638012561883, -11493.298226989496]"
"(1, 0, 3)","[-3901.0619027142866, -2197.3779483402373, -3481.983214416966, -3873.4846324423474]"
"(2, 0, 2)","[-3312.1022146268097, -1633.8833290164457, -3119.891319300917, -3378.020371551821]"
"(3, 0, 2)","[-3576.2294809880023, -2839.9617246360453, -2674.2485846542995, -1334.692993783571]"
"(3, 1, 2)","[-4680.923423934411, -1138.2371248882432, -1962.374246097449, -3480.3739567040975]"
"(1, 0, 2)","[-15222.194062700532, -2366.5186736824203, -5898.573942960545, -7999.246123763297]"
"(0, 0, 2)","[-17024.2241668555, -13702.49963928105, -17217.152006360157, -14139.491237359392]"
"(0, 1, 2)","[-15694.048789698203, -19143.104350609712, -15465.182372990052, -14962.978384958456]"
"(1, 1, 2)","[-14642.254223433883, -3086.8496379739536, -10367.917204514644, -14292.838524650137]"
"(0, 2, 2)","[-14856.408877826761, -15093.158953790768, -15204.754077334645, -14234.84311232979]"
"(1, 2, 2)","[-14262.173880732913, -7148.758552954155, -14262.798426924643, -15959.09004955747]"
"(0, 3, 2)","[-15022.783185463115, -14244.797867163164, -14248.523483912164, -14698.458360325749]"
"(1, 3, 2)","[-16455.441453287152, -20811.482844632104, -14338.153988692093, -19737.70175836697]"
"(2, 3, 2)","[-16644.665453484136, -20296.48200992339, -14174.461031837734, -14273.589277992134]"
"(2, 2, 2)","[-12038.937893260578, -3987.1545785803246, -14155.10547308932, -14163.502375825181]"
"(2, 1, 2)","[-5370.355220583663, -2527.414524849548, -4849.281718717942, -6245.5251197739]"
"(3, 3, 2)","[-14139.488545008295, -26630.419793227564, -5386.363213253978, -19215.77842141232]"
"(3, 2, 2)","[-5698.5823471938365, -8099.601401103473, -2598.931078846211, -7520.270667459115]"
"(4, 3, 2)","[-13366.442631293861, -31391.07727164409, -31475.556954881704, -31405.907103126454]"
"(4, 4, 2)","[-31353.083874235323, -31386.921059031883, -31383.27582556332, -31884.46555599349]"
"(3, 4, 2)","[-15035.733804609696, -31327.29269218338, -31335.546332981678, -31765.59418740948]"
"(4, 2, 1)","[-613.6335329097726, -2191.0903865124974, -2991.915655094721, -1824.0862415026825]"
"(4, 3, 1)","[-888.4479597254316, -2746.397835209002, -1858.4769098237964, -7747.476114635017]"
"(4, 4, 1)","[-3573.637085845341, -14224.143331943369, -1445.6670798518237, -14428.952201671644]"
"(3, 4, 1)","[-11093.068859463829, -5198.215491362498, -924.5452290740055, -8366.218215430961]"
"(3, 3, 1)","[-405.760905696863, -1360.3255293763232, -1268.3110304770648, -1445.453224819612]"
"(2, 4, 1)","[-14214.292070630954, -13995.67503627435, -5141.621118309008, -14556.584022052815]"
"(1, 4, 1)","[-13891.110838211458, -13899.173620187972, -9397.595423295348, -14503.832615318932]"
"(0, 4, 0)","[0.0, 0.0, 0.0, 0.0]"
"(3, 1, 3)","[-3988.147256155131, -5917.028161250753, -6409.565009743594, -7354.597880978092]"
"(3, 2, 3)","[-10461.377401288806, -19601.268916485504, -4497.6340581223385, -16107.4441046026]"
"(4, 2, 2)","[-3767.205149231663, -31910.96451913166, -19274.73859773723, -24679.055934037577]"
"(4, 1, 2)","[-1624.6173627697976, -2033.8829363655389, -2844.5413942453897, -928.121155408026]"
"(4, 0, 2)","[-1910.5378763631657, -9281.326674963955, -8823.901196400988, -8690.406279763956]"
"(2, 4, 2)","[-16719.200344288183, -24049.233429041327, -16974.946030132538, -15826.301488835692]"
"(0, 4, 1)","[-13951.838365370078, -13556.256617253754, -13414.903275794239, -14072.898382180414]"
"(2, 3, 1)","[-242.07500946530135, -535.495077390563, -822.0952046974369, -1646.6646759207056]"
"(3, 2, 1)","[-2604.6571215587833, -1090.423147861672, -2470.2856646218506, -498.52622353045336]"
"(2, 2, 1)","[-1232.4210029331953, -1376.281199115123, -2568.0725662514305, -394.2361391806408]"
"(1, 2, 1)","[-1935.1548722284265, -482.99681535759566, -5213.505970735992, -2873.151598037537]"
"(0, 2, 1)","[-3415.3296169579094, -1696.6041275246112, -4235.999411189413, -85.1209396262046]"
"(1, 3, 1)","[-205.465064208811, -375.23184732713696, -721.7047003814762, -1146.0181348231617]"
"(0, 3, 1)","[-1273.406174991992, -256.02696274476415, -216.62899127337394, -23.4]"
"(0, 1, 1)","[-8533.327334760736, -3744.1625423666483, -11816.025490368367, -15084.41038623765]"
"(1, 1, 1)","[-8723.683314203241, -2279.470805611791, -8156.137307072611, -6643.2278299034115]"
"(1, 0, 1)","[-14720.805999141725, -14025.848224282667, -14453.619485720408, -3694.2171445894855]"
"(2, 0, 0)","[0.0, 0.0, 0.0, 0.0]"
"(1, 2, 3)","[-7098.817921870401, -5508.22453603217, -3042.192221041473, -14923.041039044741]"
"(0, 2, 3)","[-15129.977031493801, -5088.608347174271, -14672.208300794658, -14937.841441479573]"
"(2, 2, 3)","[-8787.079436498345, -5723.758927884396, -3433.9128717739904, -10281.317537846619]"
"(0, 0, 3)","[-6976.724254371615, -3087.7995014097396, -4651.726983037155, -5210.482458537845]"
"(0, 3, 3)","[-16941.9558695074, -19657.523762474662, -16157.897052079486, -13747.765292870547]"
"(1, 3, 3)","[-16629.742014574087, -19078.63994911276, -9380.672207312004, -20313.246543211262]"
"(0, 4, 2)","[-19791.625742278113, -19326.77581064147, -13908.29716559401, -19565.084301835905]"
"(1, 4, 2)","[-13664.754193323195, -21805.294638071464, -19371.46897375399, -19355.676395887567]"
"(2, 0, 1)","[-14480.556940140363, -11730.54876209826, -14435.418193465102, -14272.098548715472]"
